id,behavior
0x006,MB_TALL_GRASS
0x007,MB_LONG_GRASS
0x00A,MB_TALL_GRASS
0x00B,MB_TALL_GRASS
0x00F,MB_LONG_GRASS_SOUTH_EDGE
0x012,MB_OCEAN_WATER
0x013,MB_OCEAN_WATER
0x014,MB_TALL_GRASS
0x015,MB_TALL_GRASS
0x01C,MB_OCEAN_WATER
0x01B,MB_OCEAN_WATER
0x064,MB_BERRY_TREE_SOIL
0x071,MB_MOUNTAIN_TOP
0x079,MB_MOUNTAIN_TOP
0x07D,MB_JUMP_SOUTH
0x07E,MB_JUMP_SOUTH
0x07F,MB_JUMP_SOUTH
0x085,MB_JUMP_WEST
0x086,MB_JUMP_EAST
0x094,MB_JUMP_WEST
0x095,MB_JUMP_WEST
0x096,MB_JUMP_EAST
0x097,MB_JUMP_EAST
0x099,MB_MOUNTAIN_TOP
0x09D,MB_JUMP_SOUTH
0x09E,MB_JUMP_SOUTH
0x09F,MB_JUMP_SOUTH
0x0A5,MB_JUMP_WEST
0x0A6,MB_JUMP_EAST
0x0B2,MB_MOUNTAIN_TOP
0x0B1,MB_ROCK_CLIMB
0x0B8,MB_ROCK_CLIMB
0x0B9,MB_ROCK_CLIMB
0x0BA,MB_ROCK_CLIMB
0x0BB,MB_MOUNTAIN_TOP
0x0BC,MB_MOUNTAIN_TOP
0x0BF,MB_NON_ANIMATED_DOOR
0x0C0,MB_ROCK_CLIMB
0x0C1,MB_ROCK_CLIMB
0x0C2,MB_ROCK_CLIMB
0x0C4,MB_JUMP_WEST
0x0C5,MB_JUMP_EAST
0x0C6,MB_JUMP_WEST
0x0C7,MB_JUMP_EAST
0x0C8,MB_ROCK_CLIMB
0x0C9,MB_ROCK_CLIMB
0x0CA,MB_ROCK_CLIMB
0x0CC,MB_JUMP_WEST
0x0CD,MB_JUMP_EAST
0x0CE,MB_JUMP_WEST
0x0CF,MB_JUMP_EAST
0x0D1,MB_MOUNTAIN_TOP
0x0D5,MB_JUMP_SOUTH
0x0D6,MB_JUMP_SOUTH
0x0D7,MB_JUMP_SOUTH
0x0DD,MB_JUMP_WEST
