id,behavior
6,MB_TALL_GRASS
7,MB_LONG_GRASS
10,MB_TALL_GRASS
11,MB_TALL_GRASS
15,MB_LONG_GRASS_SOUTH_EDGE
18,MB_OCEAN_WATER
19,MB_OCEAN_WATER
20,MB_TALL_GRASS
21,MB_TALL_GRASS
27,MB_OCEAN_WATER
28,MB_OCEAN_WATER
100,MB_BERRY_TREE_SOIL
113,MB_MOUNTAIN_TOP
121,MB_MOUNTAIN_TOP
125,MB_JUMP_SOUTH
126,MB_JUMP_SOUTH
127,MB_JUMP_SOUTH
133,MB_JUMP_WEST
134,MB_JUMP_EAST
148,MB_JUMP_WEST
149,MB_JUMP_WEST
150,MB_JUMP_EAST
151,MB_JUMP_EAST
153,MB_MOUNTAIN_TOP
157,MB_JUMP_SOUTH
158,MB_JUMP_SOUTH
159,MB_JUMP_SOUTH
165,MB_JUMP_WEST
166,MB_JUMP_EAST
177,MB_ROCK_CLIMB
178,MB_MOUNTAIN_TOP
184,MB_ROCK_CLIMB
185,MB_ROCK_CLIMB
186,MB_ROCK_CLIMB
187,MB_MOUNTAIN_TOP
188,MB_MOUNTAIN_TOP
191,MB_NON_ANIMATED_DOOR
192,MB_ROCK_CLIMB
193,MB_ROCK_CLIMB
194,MB_ROCK_CLIMB
196,MB_JUMP_WEST
197,MB_JUMP_EAST
198,MB_JUMP_WEST
199,MB_JUMP_EAST
200,MB_ROCK_CLIMB
201,MB_ROCK_CLIMB
202,MB_ROCK_CLIMB
204,MB_JUMP_WEST
205,MB_JUMP_EAST
206,MB_JUMP_WEST
207,MB_JUMP_EAST
209,MB_MOUNTAIN_TOP
213,MB_JUMP_SOUTH
214,MB_JUMP_SOUTH
215,MB_JUMP_SOUTH
221,MB_JUMP_WEST
222,MB_JUMP_EAST
232,MB_MUDDY_SLOPE
233,MB_MUDDY_SLOPE
234,MB_MUDDY_SLOPE
235,MB_MUDDY_SLOPE
237,MB_OCEAN_WATER
238,MB_DEEP_WATER
240,MB_POND_WATER
241,MB_POND_WATER
242,MB_POND_WATER
243,MB_POND_WATER
244,MB_POND_WATER
245,MB_POND_WATER
246,MB_WATERFALL
249,MB_POND_WATER
251,MB_POND_WATER
252,MB_WATERFALL
253,MB_POND_WATER
254,MB_WATERFALL
255,MB_WATERFALL
259,MB_POND_WATER
260,MB_OCEAN_WATER
261,MB_POND_WATER
262,MB_POND_WATER
263,MB_POND_WATER
270,MB_POND_WATER
271,MB_POND_WATER
272,MB_OCEAN_WATER
273,MB_MOUNTAIN_TOP
274,MB_OCEAN_WATER
275,MB_OCEAN_WATER
276,MB_OCEAN_WATER
277,MB_OCEAN_WATER
281,MB_MOUNTAIN_TOP
283,MB_OCEAN_WATER
285,MB_OCEAN_WATER
291,MB_OCEAN_WATER
292,MB_OCEAN_WATER
293,MB_OCEAN_WATER
294,MB_SHALLOW_WATER
295,MB_SHALLOW_WATER
296,MB_SHALLOW_WATER
297,MB_SHALLOW_WATER
298,MB_SHALLOW_WATER
299,MB_OCEAN_WATER
300,MB_OCEAN_WATER
301,MB_OCEAN_WATER
302,MB_SHALLOW_WATER
303,MB_SHALLOW_WATER
304,MB_SHALLOW_WATER
305,MB_SHALLOW_WATER
306,MB_SHALLOW_WATER
307,MB_OCEAN_WATER
309,MB_OCEAN_WATER
310,MB_SHALLOW_WATER
311,MB_SHALLOW_WATER
312,MB_SHALLOW_WATER
313,MB_SHALLOW_WATER
314,MB_SHALLOW_WATER
315,MB_OCEAN_WATER
316,MB_OCEAN_WATER
317,MB_OCEAN_WATER
318,MB_OCEAN_WATER
